Date,Panel_ID,Energy_Produced_kWh,Expected_Energy_kWh,Temperature_C
2024-01-17,Panel_E,23.46,28.51,23.4
2024-02-16,Panel_A,19.7,23.24,30.2
2024-01-05,Panel_E,18.81,20.06,34.1
2024-02-19,Panel_E,24.38,25.44,32.5
2024-01-13,Panel_C,24.72,28.17,30.6
2024-02-17,Panel_D,,23.49,36.6
2024-01-16,Panel_D,20.11,21.95,25.6
2024-01-20,Panel_E,19.79,22.16,21.7
2024-01-11,Panel_A,23.41,29.08,22.9
2024-01-26,Panel_B,22.93,28.14,22.4
2024-02-20,Panel_E,20.71,22.48,20.7
2024-02-15,Panel_C,17.82,22.58,33.4
2024-01-13,Panel_B,23.28,28.77,33.2
2024-02-05,Panel_E,19.18,22.47,22.6
2024-02-07,Panel_C,17.29,22.13,20.3
2024-01-14,Panel_E,20.01,26.64,23.2
2024-01-08,Panel_B,17.11,22.29,25.8
2024-01-09,Panel_A,26.84,28.07,26.4
2024-01-30,Panel_C,24.97,29.87,27.4
2024-01-03,Panel_B,28.67,29.49,36.2
2024-02-17,Panel_C,22.29,25.96,28.2
2024-02-18,Panel_D,17.05,21.64,36.3
2024-02-06,Panel_B,23.84,26.72,27.2
2024-02-01,Panel_A,19.37,23.75,37.4
2024-01-29,Panel_B,19.04,24.94,
2024-01-20,Panel_D,18.51,21.27,35.4
2024-02-02,Panel_E,18.06,22.77,
2024-01-10,Panel_B,23.01,23.64,39.2
2024-02-25,Panel_E,20.87,23.62,32.6
2024-01-24,Panel_A,23.44,26.16,20.9
2024-01-26,Panel_D,25.57,27.35,25.6
2024-02-22,Panel_E,22.32,25.06,20.4
2024-02-29,Panel_E,,28.96,21.7
2024-01-26,Panel_E,20.09,21.77,36.1
2024-02-28,Panel_B,18.21,24.09,23.1
2024-01-04,Panel_A,21.88,26.63,30.4
2024-01-02,Panel_C,17.48,21.39,27.3
2024-02-23,Panel_A,27.7,28.72,
2024-02-02,Panel_B,23.24,26.28,38.0
2024-02-11,Panel_D,21.86,26.18,29.3
2024-02-02,Panel_D,24.7,28.9,32.4
2024-02-09,Panel_E,,21.72,20.8
2024-01-18,Panel_E,22.5,27.02,25.9
2024-02-12,Panel_D,17.94,23.77,26.4
2024-01-20,Panel_C,19.13,20.37,27.2
2024-02-18,Panel_C,19.96,21.4,24.0
2024-01-02,Panel_D,22.86,24.56,24.0
2024-01-06,Panel_D,19.06,23.11,34.6
2024-01-06,Panel_C,21.67,26.23,21.3
2024-01-25,Panel_C,28.37,29.61,23.9
2024-01-11,Panel_C,24.72,26.72,24.8
2024-02-23,Panel_D,22.29,24.24,38.7
2024-01-12,Panel_D,20.9,26.45,33.8
2024-01-30,Panel_D,27.23,28.13,39.7
2024-02-27,Panel_A,16.62,21.91,29.4
2024-01-31,Panel_D,16.47,21.19,33.0
2024-02-26,Panel_B,23.22,29.61,28.3
2024-01-07,Panel_B,23.75,25.61,29.9
2024-01-01,Panel_B,20.43,25.99,23.1
2024-02-18,Panel_A,23.26,29.38,21.3
2024-01-03,Panel_D,18.98,24.4,29.9
2024-01-02,Panel_E,22.28,25.14,20.9
2024-02-26,Panel_C,20.42,20.85,30.0
2024-01-20,Panel_A,17.45,20.36,30.9
2024-01-07,Panel_E,20.06,23.14,38.2
2024-01-20,Panel_B,20.26,22.87,20.6
2024-02-29,Panel_A,19.61,21.79,24.8
2024-02-05,Panel_C,,30.0,31.1
2024-01-30,Panel_A,20.71,27.01,36.4
2024-02-15,Panel_D,25.72,29.29,31.4
2024-02-06,Panel_E,22.43,25.52,37.5
2024-01-10,Panel_A,20.19,23.23,34.1
2024-02-10,Panel_C,18.39,22.06,30.1
2024-01-07,Panel_C,21.4,25.23,20.5
2024-01-16,Panel_C,22.09,25.03,29.9
2024-02-14,Panel_C,,22.46,23.7
2024-01-27,Panel_D,21.32,27.55,38.1
2024-01-29,Panel_E,20.24,26.18,21.7
2024-01-13,Panel_D,17.3,22.42,37.9
2024-01-17,Panel_C,23.61,24.28,39.3
2024-02-14,Panel_D,18.05,22.85,37.9
2024-02-13,Panel_B,24.11,27.89,21.7
2024-02-22,Panel_D,23.14,29.47,31.7
2024-01-09,Panel_B,16.93,21.1,28.5
2024-02-28,Panel_D,17.85,22.22,33.4
2024-01-22,Panel_E,22.11,26.12,25.0
2024-02-04,Panel_B,,28.66,20.5
2024-02-27,Panel_E,20.69,21.82,38.9
2024-01-25,Panel_B,24.61,25.46,27.7
2024-01-11,Panel_B,24.31,24.89,24.8
2024-01-12,Panel_B,18.08,20.41,33.6
2024-02-16,Panel_E,18.25,23.37,21.3
2024-02-01,Panel_D,24.73,25.28,21.5
2024-01-18,Panel_A,24.68,25.57,33.9
2024-01-25,Panel_A,21.44,23.88,29.2
2024-02-27,Panel_D,21.1,24.01,23.1
2024-02-28,Panel_A,19.28,23.73,32.9
2024-02-12,Panel_D,17.94,23.77,26.4
2024-02-14,Panel_A,23.02,23.56,32.1
2024-02-28,Panel_E,15.63,20.2,36.0
2024-01-18,Panel_C,,29.9,30.4
2024-02-03,Panel_A,20.81,23.53,21.6
2024-01-22,Panel_B,17.41,21.56,31.0
2024-01-22,Panel_A,22.76,26.96,23.5
2024-02-16,Panel_B,17.41,22.42,32.2
2024-01-10,Panel_E,19.07,25.03,25.6
2024-02-11,Panel_C,18.45,22.09,29.7
2024-01-02,Panel_A,17.9,21.83,30.5
2024-01-04,Panel_C,26.81,27.75,37.9
2024-02-17,Panel_A,24.64,29.9,36.2
2024-01-24,Panel_B,21.23,23.75,30.1
2024-02-20,Panel_D,21.89,27.89,26.2
2024-01-22,Panel_B,17.41,21.56,31.0
2024-02-02,Panel_C,16.66,20.45,39.0
2024-01-27,Panel_E,23.55,25.05,26.4
2024-02-17,Panel_B,20.45,22.55,35.2
2024-02-08,Panel_A,23.39,25.14,27.9
2024-01-13,Panel_E,25.97,29.0,26.8
2024-01-06,Panel_B,18.31,23.58,37.3
2024-02-11,Panel_B,25.87,28.06,23.7
2024-02-03,Panel_E,27.34,28.23,34.5
2024-02-06,Panel_A,26.27,29.54,24.6
2024-01-21,Panel_A,17.9,20.52,30.8
2024-02-09,Panel_C,,26.41,26.9
2024-01-28,Panel_A,24.31,28.96,20.2
2024-02-27,Panel_B,19.63,25.65,35.5
2024-02-22,Panel_C,21.75,25.83,29.2
2024-02-09,Panel_D,24.89,28.97,33.4
2024-01-24,Panel_C,25.75,28.56,23.3
2024-02-03,Panel_B,29.05,29.74,34.0
2024-02-13,Panel_C,22.45,25.37,34.9
2024-01-28,Panel_B,22.4,29.05,26.4
2024-01-06,Panel_E,25.17,26.38,29.4
2024-01-16,Panel_E,18.18,20.24,23.5
2024-02-10,Panel_E,20.2,26.28,37.5
2024-01-29,Panel_A,26.01,27.92,21.8
2024-02-01,Panel_C,22.57,29.7,37.8
2024-01-27,Panel_B,23.0,27.76,38.6
2024-01-08,Panel_E,20.89,21.87,30.8
2024-02-19,Panel_A,24.17,28.77,36.3
2024-02-11,Panel_A,22.32,29.21,25.5
2024-02-13,Panel_A,25.63,28.91,33.6
2024-02-25,Panel_C,19.18,24.52,23.5
2024-01-11,Panel_E,23.0,26.34,21.8
2024-02-10,Panel_A,17.66,21.69,23.5
2024-01-09,Panel_D,21.24,25.11,24.4
2024-02-21,Panel_D,21.94,27.97,24.6
2024-01-10,Panel_D,17.33,22.85,32.2
2024-01-08,Panel_A,18.99,22.49,35.1
2024-01-12,Panel_E,23.05,23.87,22.8
2024-01-29,Panel_D,16.57,21.17,35.2
2024-01-11,Panel_D,22.77,27.28,32.6
2024-01-05,Panel_A,19.41,23.89,36.6
2024-01-25,Panel_E,18.99,20.94,21.4
2024-01-29,Panel_C,23.3,24.42,27.0
2024-01-23,Panel_A,21.78,23.56,20.3
2024-02-18,Panel_B,24.18,27.41,36.8
2024-01-16,Panel_B,25.89,28.92,35.9
2024-02-25,Panel_B,23.38,27.38,24.5
2024-02-23,Panel_C,19.0,21.53,32.1
2024-01-22,Panel_C,24.49,27.15,25.6
2024-01-19,Panel_D,26.69,27.96,26.8
2024-01-03,Panel_C,17.81,23.05,33.7
2024-01-04,Panel_B,20.19,25.47,39.4
2024-01-10,Panel_C,19.47,22.52,26.0
2024-02-07,Panel_B,24.59,27.55,34.1
2024-02-10,Panel_D,20.42,26.9,36.0
2024-02-22,Panel_B,18.57,23.46,38.2
2024-01-24,Panel_E,24.99,25.86,31.5
2024-01-05,Panel_B,19.2,23.57,30.9
2024-01-30,Panel_B,20.8,27.06,21.7
2024-02-05,Panel_D,26.78,27.69,37.0
2024-01-17,Panel_D,23.33,28.53,27.7
2024-01-27,Panel_A,25.27,29.91,27.4
2024-02-01,Panel_E,24.85,25.54,30.5
2024-01-26,Panel_C,24.13,26.97,37.5
2024-02-11,Panel_E,20.83,27.47,25.0
2024-02-14,Panel_B,17.3,22.37,23.1
2024-01-15,Panel_D,25.68,28.49,31.4
2024-02-15,Panel_E,21.14,22.8,23.7
2024-02-29,Panel_D,21.27,26.68,25.9
2024-01-07,Panel_A,19.38,21.2,35.2
2024-01-25,Panel_D,16.0,20.69,20.4
2024-01-07,Panel_D,15.96,21.08,32.7
2024-01-01,Panel_E,22.62,28.32,
2024-01-04,Panel_E,16.7,21.96,26.5
2024-02-13,Panel_E,21.23,23.63,31.4
2024-01-25,Panel_D,16.0,20.69,20.4
2024-01-30,Panel_E,23.03,27.53,21.7
2024-02-14,Panel_E,18.11,20.8,28.2
2024-02-19,Panel_C,21.21,23.01,30.1
2024-02-24,Panel_B,27.75,29.21,30.4
2024-01-31,Panel_B,22.54,29.06,29.9
2024-02-16,Panel_D,21.65,24.81,
2024-01-03,Panel_A,20.58,26.08,21.3
2024-01-15,Panel_B,20.32,22.24,24.7
2024-02-20,Panel_C,22.86,26.2,37.9
2024-01-19,Panel_C,25.17,27.98,34.0
2024-02-08,Panel_C,20.68,21.47,29.8
2024-02-21,Panel_C,22.18,28.46,27.9
2024-02-29,Panel_B,16.92,20.99,34.4
2024-02-09,Panel_A,,22.4,22.6
2024-01-28,Panel_C,28.57,29.5,31.5
2024-02-22,Panel_A,23.57,26.94,25.0
2024-01-08,Panel_D,25.02,26.33,36.1
2024-02-10,Panel_B,16.25,20.89,
2024-02-07,Panel_E,23.35,24.37,27.0
2024-02-20,Panel_B,18.26,23.35,35.9
2024-01-23,Panel_C,26.03,28.55,29.5
2024-02-06,Panel_D,24.11,27.72,37.0
2024-01-31,Panel_C,17.25,20.11,21.1
2024-02-08,Panel_B,24.87,26.22,39.0
2024-01-09,Panel_E,17.55,21.2,38.9
2024-02-25,Panel_A,24.23,29.2,26.9
2024-01-02,Panel_B,19.87,24.32,32.2
2024-02-20,Panel_A,20.45,21.17,32.6
2024-01-16,Panel_A,21.85,22.44,27.9
2024-01-01,Panel_A,23.01,23.75,34.6
2024-01-14,Panel_D,19.6,26.06,22.0
2024-02-03,Panel_C,20.83,25.36,36.3
2024-02-13,Panel_D,18.95,24.32,25.7
2024-01-09,Panel_C,26.71,28.18,20.1
2024-01-15,Panel_C,21.43,23.25,33.0
2024-01-05,Panel_D,27.71,29.87,24.0
2024-02-07,Panel_A,18.76,24.03,20.6
2024-01-21,Panel_D,19.33,22.71,21.6
2024-02-12,Panel_B,19.61,25.32,28.9
2024-01-14,Panel_C,16.4,20.84,38.0
2024-01-06,Panel_A,25.31,27.29,21.5
2024-02-09,Panel_B,16.7,21.28,22.8
2024-02-05,Panel_A,,24.69,25.5
