Date,Panel_ID,Energy_Produced_kWh,Expected_Energy_kWh,Temperature_C,Energy_Loss_kWh,Efficiency_Percent,Month,Day,Performance_Status
2024-01-21,Panel_E,19.67,20.25,36.7,0.5799999999999983,97.13580246913581,2024-01,21,Good
2024-01-18,Panel_D,26.48,28.77,33.9,2.289999999999999,92.04031977754606,2024-01,18,Good
2024-01-03,Panel_E,19.51,20.34,25.2,0.8299999999999983,95.91937069813177,2024-01,3,Good
2024-02-01,Panel_B,21.61,22.24,20.2,0.629999999999999,97.16726618705036,2024-02,1,Good
2024-02-21,Panel_B,21.99,23.42,22.2,1.4300000000000033,93.89410760034157,2024-02,21,Good
2024-02-02,Panel_A,21.38,26.29,29.1,4.91,81.32369722327881,2024-02,2,Average
2024-01-31,Panel_E,24.28,27.46,39.2,3.1799999999999997,88.41951930080117,2024-01,31,Average
2024-01-01,Panel_C,19.53,20.58,32.0,1.0499999999999972,94.89795918367349,2024-01,1,Good
2024-02-07,Panel_D,20.82,23.51,27.8,2.6900000000000013,88.55806039982986,2024-02,7,Average
2024-01-12,Panel_A,23.35,28.35,23.7,5.0,82.36331569664902,2024-01,12,Average
2024-02-04,Panel_A,22.11,26.13,38.7,4.02,84.61538461538461,2024-02,4,Average
2024-02-08,Panel_D,19.32,22.58,39.6,3.259999999999998,85.56244464127548,2024-02,8,Average
2024-02-07,Panel_E,23.35,24.37,27.0,1.0199999999999996,95.814526056627,2024-02,7,Good
2024-02-08,Panel_E,20.58,24.93,32.7,4.350000000000001,82.55114320096268,2024-02,8,Average
2024-01-23,Panel_D,21.38,20.98,29.5,-0.3999999999999986,101.90657769304099,2024-01,23,Good
2024-01-21,Panel_B,24.18,26.37,39.5,2.1900000000000013,91.69510807736063,2024-01,21,Good
2024-02-12,Panel_C,20.41,25.33,25.4,4.919999999999998,80.5763916304777,2024-02,12,Average
2024-01-28,Panel_E,21.07,23.29,35.0,2.219999999999999,90.46801202232719,2024-01,28,Good
2024-02-05,Panel_B,19.51,20.56,36.3,1.0499999999999972,94.89299610894943,2024-02,5,Good
2024-01-13,Panel_A,18.17,23.41,38.5,5.239999999999998,77.61640324647587,2024-01,13,Average
2024-02-16,Panel_C,21.38,22.89,29.5,1.5100000000000016,93.40323285277414,2024-02,16,Good
2024-01-04,Panel_D,24.99,25.98,29.5,0.990000000000002,96.18937644341801,2024-01,4,Good
2024-02-24,Panel_A,28.15,29.85,22.5,1.7000000000000028,94.30485762144053,2024-02,24,Good
2024-01-15,Panel_A,23.17,25.49,33.0,2.3199999999999967,90.89839152608867,2024-01,15,Good
2024-02-15,Panel_B,28.18,29.69,36.3,1.5100000000000016,94.91411249578982,2024-02,15,Good
2024-02-17,Panel_E,23.09,29.65,34.6,6.559999999999999,77.8752107925801,2024-02,17,Average
2024-02-04,Panel_C,22.25,23.76,39.7,1.5100000000000016,93.64478114478115,2024-02,4,Good
2024-02-26,Panel_A,18.17,20.13,23.6,1.9599999999999973,90.26328862394438,2024-02,26,Good
2024-01-28,Panel_D,22.45,26.32,25.9,3.870000000000001,85.29635258358662,2024-01,28,Average
2024-02-15,Panel_A,23.13,29.82,28.0,6.690000000000001,77.56539235412474,2024-02,15,Average
2024-02-18,Panel_E,23.19,26.65,27.2,3.4599999999999973,87.01688555347093,2024-02,18,Average
2024-01-05,Panel_C,21.38,21.41,21.5,0.030000000000001137,99.85987856141989,2024-01,5,Good
2024-02-19,Panel_D,21.36,22.32,27.7,0.9600000000000009,95.69892473118279,2024-02,19,Good
2024-02-23,Panel_E,24.98,29.26,22.3,4.280000000000001,85.37252221462748,2024-02,23,Average
2024-02-21,Panel_A,23.78,25.7,37.5,1.9199999999999982,92.52918287937743,2024-02,21,Good
2024-01-31,Panel_A,24.39,27.77,28.5,3.379999999999999,87.82859200576162,2024-01,31,Average
2024-02-03,Panel_D,21.14,26.85,38.2,5.710000000000001,78.73370577281192,2024-02,3,Average
2024-02-24,Panel_C,21.81,25.91,21.1,4.100000000000001,84.17599382477808,2024-02,24,Average
2024-01-19,Panel_E,18.33,23.76,29.5,5.430000000000003,77.14646464646464,2024-01,19,Average
2024-01-24,Panel_D,18.59,20.71,20.5,2.120000000000001,89.76339932399806,2024-01,24,Average
2024-01-18,Panel_B,19.85,25.7,32.3,5.849999999999998,77.23735408560312,2024-01,18,Average
2024-02-28,Panel_C,24.49,27.16,20.5,2.6700000000000017,90.16936671575846,2024-02,28,Good
2024-02-24,Panel_D,21.82,23.35,20.1,1.5300000000000011,93.4475374732334,2024-02,24,Good
2024-01-23,Panel_B,16.09,21.16,20.8,5.07,76.03969754253308,2024-01,23,Average
2024-02-04,Panel_E,28.03,29.7,36.8,1.6699999999999982,94.37710437710439,2024-02,4,Good
2024-01-17,Panel_E,23.46,28.51,23.4,5.050000000000001,82.28691687127323,2024-01,17,Average
2024-02-16,Panel_A,19.7,23.24,30.2,3.539999999999999,84.76764199655766,2024-02,16,Average
2024-01-05,Panel_E,18.81,20.06,34.1,1.25,93.76869391824526,2024-01,5,Good
2024-02-19,Panel_E,24.38,25.44,32.5,1.0600000000000023,95.83333333333333,2024-02,19,Good
2024-01-13,Panel_C,24.72,28.17,30.6,3.450000000000003,87.75292864749733,2024-01,13,Average
2024-02-17,Panel_D,21.38,23.49,36.6,2.1099999999999994,91.01745423584504,2024-02,17,Good
2024-01-16,Panel_D,20.11,21.95,25.6,1.8399999999999999,91.61731207289294,2024-01,16,Good
2024-01-20,Panel_E,19.79,22.16,21.7,2.370000000000001,89.30505415162455,2024-01,20,Average
2024-01-11,Panel_A,23.41,29.08,22.9,5.669999999999998,80.50206327372766,2024-01,11,Average
2024-01-26,Panel_B,22.93,28.14,22.4,5.210000000000001,81.48542999289268,2024-01,26,Average
2024-02-20,Panel_E,20.71,22.48,20.7,1.7699999999999996,92.12633451957296,2024-02,20,Good
2024-02-15,Panel_C,17.82,22.58,33.4,4.759999999999998,78.91939769707706,2024-02,15,Average
2024-01-13,Panel_B,23.28,28.77,33.2,5.489999999999998,80.91762252346194,2024-01,13,Average
2024-02-05,Panel_E,19.18,22.47,22.6,3.289999999999999,85.35825545171339,2024-02,5,Average
2024-02-07,Panel_C,17.29,22.13,20.3,4.84,78.12923633077271,2024-02,7,Average
2024-01-14,Panel_E,20.01,26.64,23.2,6.629999999999999,75.11261261261262,2024-01,14,Average
2024-01-08,Panel_B,17.11,22.29,25.8,5.18,76.76087931807986,2024-01,8,Average
2024-01-09,Panel_A,26.84,28.07,26.4,1.2300000000000004,95.61809761311008,2024-01,9,Good
2024-01-30,Panel_C,24.97,29.87,27.4,4.900000000000002,83.59558085035151,2024-01,30,Average
2024-01-03,Panel_B,28.67,29.49,36.2,0.8199999999999967,97.21939640556123,2024-01,3,Good
2024-02-17,Panel_C,22.29,25.96,28.2,3.6700000000000017,85.8628659476117,2024-02,17,Average
2024-02-18,Panel_D,17.05,21.64,36.3,4.59,78.78927911275416,2024-02,18,Average
2024-02-06,Panel_B,23.84,26.72,27.2,2.879999999999999,89.22155688622755,2024-02,6,Average
2024-02-01,Panel_A,19.37,23.75,37.4,4.379999999999999,81.5578947368421,2024-02,1,Average
2024-01-29,Panel_B,19.04,24.94,29.5,5.900000000000002,76.34322373696871,2024-01,29,Average
2024-01-20,Panel_D,18.51,21.27,35.4,2.759999999999998,87.02397743300423,2024-01,20,Average
2024-02-02,Panel_E,18.06,22.77,29.5,4.710000000000001,79.31488801054019,2024-02,2,Average
2024-01-10,Panel_B,23.01,23.64,39.2,0.629999999999999,97.33502538071066,2024-01,10,Good
2024-02-25,Panel_E,20.87,23.62,32.6,2.75,88.35732430143946,2024-02,25,Average
2024-01-24,Panel_A,23.44,26.16,20.9,2.719999999999999,89.60244648318043,2024-01,24,Average
2024-01-26,Panel_D,25.57,27.35,25.6,1.7800000000000011,93.49177330895795,2024-01,26,Good
2024-02-22,Panel_E,22.32,25.06,20.4,2.7399999999999984,89.0662410215483,2024-02,22,Average
2024-02-29,Panel_E,21.38,28.96,21.7,7.580000000000002,73.82596685082873,2024-02,29,Needs Attention
2024-01-26,Panel_E,20.09,21.77,36.1,1.6799999999999997,92.28295819935691,2024-01,26,Good
2024-02-28,Panel_B,18.21,24.09,23.1,5.879999999999999,75.59153175591533,2024-02,28,Average
2024-01-04,Panel_A,21.88,26.63,30.4,4.75,82.16297408937288,2024-01,4,Average
2024-01-02,Panel_C,17.48,21.39,27.3,3.91,81.72043010752688,2024-01,2,Average
2024-02-23,Panel_A,27.7,28.72,29.5,1.0199999999999996,96.44846796657382,2024-02,23,Good
2024-02-02,Panel_B,23.24,26.28,38.0,3.0400000000000027,88.43226788432267,2024-02,2,Average
2024-02-11,Panel_D,21.86,26.18,29.3,4.32,83.49885408708938,2024-02,11,Average
2024-02-02,Panel_D,24.7,28.9,32.4,4.199999999999999,85.46712802768167,2024-02,2,Average
2024-02-09,Panel_E,21.38,21.72,20.8,0.33999999999999986,98.43462246777163,2024-02,9,Good
2024-01-18,Panel_E,22.5,27.02,25.9,4.52,83.27165062916359,2024-01,18,Average
2024-02-12,Panel_D,17.94,23.77,26.4,5.829999999999998,75.47328565418596,2024-02,12,Average
2024-01-20,Panel_C,19.13,20.37,27.2,1.240000000000002,93.91261659302896,2024-01,20,Good
2024-02-18,Panel_C,19.96,21.4,24.0,1.4399999999999977,93.27102803738319,2024-02,18,Good
2024-01-02,Panel_D,22.86,24.56,24.0,1.6999999999999993,93.07817589576548,2024-01,2,Good
2024-01-06,Panel_D,19.06,23.11,34.6,4.050000000000001,82.47511899610558,2024-01,6,Average
2024-01-06,Panel_C,21.67,26.23,21.3,4.559999999999999,82.61532596263821,2024-01,6,Average
2024-01-25,Panel_C,28.37,29.61,23.9,1.2399999999999984,95.81222559945964,2024-01,25,Good
2024-01-11,Panel_C,24.72,26.72,24.8,2.0,92.51497005988024,2024-01,11,Good
2024-02-23,Panel_D,22.29,24.24,38.7,1.9499999999999993,91.95544554455446,2024-02,23,Good
2024-01-12,Panel_D,20.9,26.45,33.8,5.550000000000001,79.01701323251417,2024-01,12,Average
2024-01-30,Panel_D,27.23,28.13,39.7,0.8999999999999986,96.80056878777107,2024-01,30,Good
2024-02-27,Panel_A,16.62,21.91,29.4,5.289999999999999,75.8557736193519,2024-02,27,Average
2024-01-31,Panel_D,16.47,21.19,33.0,4.720000000000002,77.72534214252005,2024-01,31,Average
2024-02-26,Panel_B,23.22,29.61,28.3,6.390000000000001,78.41945288753799,2024-02,26,Average
2024-01-07,Panel_B,23.75,25.61,29.9,1.8599999999999994,92.73721202655213,2024-01,7,Good
2024-01-01,Panel_B,20.43,25.99,23.1,5.559999999999999,78.6071565986918,2024-01,1,Average
2024-02-18,Panel_A,23.26,29.38,21.3,6.119999999999997,79.16950306330838,2024-02,18,Average
2024-01-03,Panel_D,18.98,24.4,29.9,5.419999999999998,77.78688524590164,2024-01,3,Average
2024-01-02,Panel_E,22.28,25.14,20.9,2.8599999999999994,88.62370723945904,2024-01,2,Average
2024-02-26,Panel_C,20.42,20.85,30.0,0.4299999999999997,97.93764988009592,2024-02,26,Good
2024-01-20,Panel_A,17.45,20.36,30.9,2.91,85.70726915520629,2024-01,20,Average
2024-01-07,Panel_E,20.06,23.14,38.2,3.080000000000002,86.68971477960241,2024-01,7,Average
2024-01-20,Panel_B,20.26,22.87,20.6,2.6099999999999994,88.58766943594229,2024-01,20,Average
2024-02-29,Panel_A,19.61,21.79,24.8,2.1799999999999997,89.99541073887104,2024-02,29,Average
2024-02-05,Panel_C,21.38,30.0,31.1,8.620000000000001,71.26666666666667,2024-02,5,Needs Attention
2024-01-30,Panel_A,20.71,27.01,36.4,6.300000000000001,76.67530544242874,2024-01,30,Average
2024-02-15,Panel_D,25.72,29.29,31.4,3.5700000000000003,87.81153977466712,2024-02,15,Average
2024-02-06,Panel_E,22.43,25.52,37.5,3.09,87.89184952978056,2024-02,6,Average
2024-01-10,Panel_A,20.19,23.23,34.1,3.039999999999999,86.91347395609127,2024-01,10,Average
2024-02-10,Panel_C,18.39,22.06,30.1,3.669999999999998,83.36355394378967,2024-02,10,Average
2024-01-07,Panel_C,21.4,25.23,20.5,3.830000000000002,84.81965913594925,2024-01,7,Average
2024-01-16,Panel_C,22.09,25.03,29.9,2.9400000000000013,88.25409508589692,2024-01,16,Average
2024-02-14,Panel_C,21.38,22.46,23.7,1.0800000000000018,95.1914514692787,2024-02,14,Good
2024-01-27,Panel_D,21.32,27.55,38.1,6.23,77.38656987295826,2024-01,27,Average
2024-01-29,Panel_E,20.24,26.18,21.7,5.940000000000001,77.3109243697479,2024-01,29,Average
2024-01-13,Panel_D,17.3,22.42,37.9,5.120000000000001,77.16324710080286,2024-01,13,Average
2024-01-17,Panel_C,23.61,24.28,39.3,0.6700000000000017,97.24052718286656,2024-01,17,Good
2024-02-14,Panel_D,18.05,22.85,37.9,4.800000000000001,78.99343544857767,2024-02,14,Average
2024-02-13,Panel_B,24.11,27.89,21.7,3.780000000000001,86.4467551093582,2024-02,13,Average
2024-02-22,Panel_D,23.14,29.47,31.7,6.329999999999998,78.52052935188327,2024-02,22,Average
2024-01-09,Panel_B,16.93,21.1,28.5,4.170000000000002,80.23696682464454,2024-01,9,Average
2024-02-28,Panel_D,17.85,22.22,33.4,4.369999999999997,80.33303330333035,2024-02,28,Average
2024-01-22,Panel_E,22.11,26.12,25.0,4.010000000000002,84.64777947932618,2024-01,22,Average
2024-02-04,Panel_B,21.38,28.66,20.5,7.280000000000001,74.59874389392883,2024-02,4,Needs Attention
2024-02-27,Panel_E,20.69,21.82,38.9,1.129999999999999,94.82126489459212,2024-02,27,Good
2024-01-25,Panel_B,24.61,25.46,27.7,0.8500000000000014,96.66142969363707,2024-01,25,Good
2024-01-11,Panel_B,24.31,24.89,24.8,0.5800000000000018,97.66974688629972,2024-01,11,Good
2024-01-12,Panel_B,18.08,20.41,33.6,2.330000000000002,88.58402743753061,2024-01,12,Average
2024-02-16,Panel_E,18.25,23.37,21.3,5.120000000000001,78.0915703893881,2024-02,16,Average
2024-02-01,Panel_D,24.73,25.28,21.5,0.5500000000000007,97.82436708860759,2024-02,1,Good
2024-01-18,Panel_A,24.68,25.57,33.9,0.8900000000000006,96.51935862338678,2024-01,18,Good
2024-01-25,Panel_A,21.44,23.88,29.2,2.4399999999999977,89.78224455611391,2024-01,25,Average
2024-02-27,Panel_D,21.1,24.01,23.1,2.91,87.88004997917534,2024-02,27,Average
2024-02-28,Panel_A,19.28,23.73,32.9,4.449999999999999,81.24736620311842,2024-02,28,Average
2024-02-12,Panel_D,17.94,23.77,26.4,5.829999999999998,75.47328565418596,2024-02,12,Average
2024-02-14,Panel_A,23.02,23.56,32.1,0.5399999999999991,97.70797962648558,2024-02,14,Good
2024-02-28,Panel_E,15.63,20.2,36.0,4.5699999999999985,77.37623762376238,2024-02,28,Average
2024-01-18,Panel_C,21.38,29.9,30.4,8.52,71.50501672240802,2024-01,18,Needs Attention
2024-02-03,Panel_A,20.81,23.53,21.6,2.7200000000000024,88.44028899277518,2024-02,3,Average
2024-01-22,Panel_B,17.41,21.56,31.0,4.149999999999999,80.75139146567719,2024-01,22,Average
2024-01-22,Panel_A,22.76,26.96,23.5,4.199999999999999,84.42136498516321,2024-01,22,Average
2024-02-16,Panel_B,17.41,22.42,32.2,5.010000000000002,77.65388046387154,2024-02,16,Average
2024-01-10,Panel_E,19.07,25.03,25.6,5.960000000000001,76.18857371154614,2024-01,10,Average
2024-02-11,Panel_C,18.45,22.09,29.7,3.6400000000000006,83.5219556360344,2024-02,11,Average
2024-01-02,Panel_A,17.9,21.83,30.5,3.9299999999999997,81.99725148877691,2024-01,2,Average
2024-01-04,Panel_C,26.81,27.75,37.9,0.9400000000000013,96.61261261261261,2024-01,4,Good
2024-02-17,Panel_A,24.64,29.9,36.2,5.259999999999998,82.40802675585284,2024-02,17,Average
2024-01-24,Panel_B,21.23,23.75,30.1,2.5199999999999996,89.38947368421053,2024-01,24,Average
2024-02-20,Panel_D,21.89,27.89,26.2,6.0,78.48691287199713,2024-02,20,Average
2024-01-22,Panel_B,17.41,21.56,31.0,4.149999999999999,80.75139146567719,2024-01,22,Average
2024-02-02,Panel_C,16.66,20.45,39.0,3.789999999999999,81.46699266503667,2024-02,2,Average
2024-01-27,Panel_E,23.55,25.05,26.4,1.5,94.01197604790418,2024-01,27,Good
2024-02-17,Panel_B,20.45,22.55,35.2,2.1000000000000014,90.68736141906874,2024-02,17,Good
2024-02-08,Panel_A,23.39,25.14,27.9,1.75,93.03898170246619,2024-02,8,Good
2024-01-13,Panel_E,25.97,29.0,26.8,3.030000000000001,89.55172413793103,2024-01,13,Average
2024-01-06,Panel_B,18.31,23.58,37.3,5.27,77.65055131467345,2024-01,6,Average
2024-02-11,Panel_B,25.87,28.06,23.7,2.1899999999999977,92.1952957947256,2024-02,11,Good
2024-02-03,Panel_E,27.34,28.23,34.5,0.8900000000000006,96.84732554020545,2024-02,3,Good
2024-02-06,Panel_A,26.27,29.54,24.6,3.2699999999999996,88.93026404874746,2024-02,6,Average
2024-01-21,Panel_A,17.9,20.52,30.8,2.620000000000001,87.23196881091617,2024-01,21,Average
2024-02-09,Panel_C,21.38,26.41,26.9,5.030000000000001,80.95418402120409,2024-02,9,Average
2024-01-28,Panel_A,24.31,28.96,20.2,4.650000000000002,83.94337016574585,2024-01,28,Average
2024-02-27,Panel_B,19.63,25.65,35.5,6.02,76.53021442495127,2024-02,27,Average
2024-02-22,Panel_C,21.75,25.83,29.2,4.079999999999998,84.20441347270616,2024-02,22,Average
2024-02-09,Panel_D,24.89,28.97,33.4,4.079999999999998,85.91646530894029,2024-02,9,Average
2024-01-24,Panel_C,25.75,28.56,23.3,2.8099999999999987,90.1610644257703,2024-01,24,Good
2024-02-03,Panel_B,29.05,29.74,34.0,0.6899999999999977,97.679892400807,2024-02,3,Good
2024-02-13,Panel_C,22.45,25.37,34.9,2.9200000000000017,88.49034292471423,2024-02,13,Average
2024-01-28,Panel_B,22.4,29.05,26.4,6.650000000000002,77.10843373493975,2024-01,28,Average
2024-01-06,Panel_E,25.17,26.38,29.4,1.2099999999999973,95.41319181197878,2024-01,6,Good
2024-01-16,Panel_E,18.18,20.24,23.5,2.0599999999999987,89.82213438735178,2024-01,16,Average
2024-02-10,Panel_E,20.2,26.28,37.5,6.080000000000002,76.86453576864535,2024-02,10,Average
2024-01-29,Panel_A,26.01,27.92,21.8,1.9100000000000001,93.15902578796562,2024-01,29,Good
2024-02-01,Panel_C,22.57,29.7,37.8,7.129999999999999,75.99326599326601,2024-02,1,Average
2024-01-27,Panel_B,23.0,27.76,38.6,4.760000000000002,82.85302593659942,2024-01,27,Average
2024-01-08,Panel_E,20.89,21.87,30.8,0.9800000000000004,95.51897576588935,2024-01,8,Good
2024-02-19,Panel_A,24.17,28.77,36.3,4.599999999999998,84.0111226972541,2024-02,19,Average
2024-02-11,Panel_A,22.32,29.21,25.5,6.890000000000001,76.4121876069839,2024-02,11,Average
2024-02-13,Panel_A,25.63,28.91,33.6,3.280000000000001,88.65444482877896,2024-02,13,Average
2024-02-25,Panel_C,19.18,24.52,23.5,5.34,78.22185970636215,2024-02,25,Average
2024-01-11,Panel_E,23.0,26.34,21.8,3.34,87.31966590736523,2024-01,11,Average
2024-02-10,Panel_A,17.66,21.69,23.5,4.030000000000001,81.42000922083909,2024-02,10,Average
2024-01-09,Panel_D,21.24,25.11,24.4,3.870000000000001,84.58781362007169,2024-01,9,Average
2024-02-21,Panel_D,21.94,27.97,24.6,6.029999999999998,78.4411869860565,2024-02,21,Average
2024-01-10,Panel_D,17.33,22.85,32.2,5.520000000000003,75.84245076586433,2024-01,10,Average
2024-01-08,Panel_A,18.99,22.49,35.1,3.5,84.43752779012894,2024-01,8,Average
2024-01-12,Panel_E,23.05,23.87,22.8,0.8200000000000003,96.56472559698366,2024-01,12,Good
2024-01-29,Panel_D,16.57,21.17,35.2,4.600000000000001,78.27113840340103,2024-01,29,Average
2024-01-11,Panel_D,22.77,27.28,32.6,4.510000000000002,83.46774193548386,2024-01,11,Average
2024-01-05,Panel_A,19.41,23.89,36.6,4.48,81.24738384261198,2024-01,5,Average
2024-01-25,Panel_E,18.99,20.94,21.4,1.9500000000000028,90.68767908309454,2024-01,25,Good
2024-01-29,Panel_C,23.3,24.42,27.0,1.120000000000001,95.4135954135954,2024-01,29,Good
2024-01-23,Panel_A,21.78,23.56,20.3,1.7799999999999976,92.44482173174873,2024-01,23,Good
2024-02-18,Panel_B,24.18,27.41,36.8,3.2300000000000004,88.21597956950018,2024-02,18,Average
2024-01-16,Panel_B,25.89,28.92,35.9,3.030000000000001,89.52282157676348,2024-01,16,Average
2024-02-25,Panel_B,23.38,27.38,24.5,4.0,85.39079620160702,2024-02,25,Average
2024-02-23,Panel_C,19.0,21.53,32.1,2.530000000000001,88.24895494658615,2024-02,23,Average
2024-01-22,Panel_C,24.49,27.15,25.6,2.66,90.20257826887661,2024-01,22,Good
2024-01-19,Panel_D,26.69,27.96,26.8,1.2699999999999996,95.45779685264664,2024-01,19,Good
2024-01-03,Panel_C,17.81,23.05,33.7,5.240000000000002,77.26681127982646,2024-01,3,Average
2024-01-04,Panel_B,20.19,25.47,39.4,5.279999999999998,79.26972909305066,2024-01,4,Average
2024-01-10,Panel_C,19.47,22.52,26.0,3.0500000000000007,86.45648312611011,2024-01,10,Average
2024-02-07,Panel_B,24.59,27.55,34.1,2.960000000000001,89.25589836660617,2024-02,7,Average
2024-02-10,Panel_D,20.42,26.9,36.0,6.479999999999997,75.910780669145,2024-02,10,Average
2024-02-22,Panel_B,18.57,23.46,38.2,4.890000000000001,79.15601023017904,2024-02,22,Average
2024-01-24,Panel_E,24.99,25.86,31.5,0.870000000000001,96.63573085846868,2024-01,24,Good
2024-01-05,Panel_B,19.2,23.57,30.9,4.370000000000001,81.45948239287229,2024-01,5,Average
2024-01-30,Panel_B,20.8,27.06,21.7,6.259999999999998,76.86622320768663,2024-01,30,Average
2024-02-05,Panel_D,26.78,27.69,37.0,0.9100000000000001,96.71361502347418,2024-02,5,Good
2024-01-17,Panel_D,23.33,28.53,27.7,5.200000000000003,81.77357167893445,2024-01,17,Average
2024-01-27,Panel_A,25.27,29.91,27.4,4.640000000000001,84.48679371447676,2024-01,27,Average
2024-02-01,Panel_E,24.85,25.54,30.5,0.6899999999999977,97.29835552075177,2024-02,1,Good
2024-01-26,Panel_C,24.13,26.97,37.5,2.84,89.46978123841305,2024-01,26,Average
2024-02-11,Panel_E,20.83,27.47,25.0,6.640000000000001,75.82817619220968,2024-02,11,Average
2024-02-14,Panel_B,17.3,22.37,23.1,5.07,77.33571747876621,2024-02,14,Average
2024-01-15,Panel_D,25.68,28.49,31.4,2.8099999999999987,90.13689013689013,2024-01,15,Good
2024-02-15,Panel_E,21.14,22.8,23.7,1.6600000000000001,92.71929824561404,2024-02,15,Good
2024-02-29,Panel_D,21.27,26.68,25.9,5.41,79.72263868065967,2024-02,29,Average
2024-01-07,Panel_A,19.38,21.2,35.2,1.8200000000000003,91.41509433962264,2024-01,7,Good
2024-01-25,Panel_D,16.0,20.69,20.4,4.690000000000001,77.33204446592556,2024-01,25,Average
2024-01-07,Panel_D,15.96,21.08,32.7,5.119999999999997,75.71157495256168,2024-01,7,Average
2024-01-01,Panel_E,22.62,28.32,29.5,5.699999999999999,79.87288135593221,2024-01,1,Average
2024-01-04,Panel_E,16.7,21.96,26.5,5.260000000000002,76.04735883424408,2024-01,4,Average
2024-02-13,Panel_E,21.23,23.63,31.4,2.3999999999999986,89.84341938214135,2024-02,13,Average
2024-01-25,Panel_D,16.0,20.69,20.4,4.690000000000001,77.33204446592556,2024-01,25,Average
2024-01-30,Panel_E,23.03,27.53,21.7,4.5,83.65419542317471,2024-01,30,Average
2024-02-14,Panel_E,18.11,20.8,28.2,2.6900000000000013,87.06730769230768,2024-02,14,Average
2024-02-19,Panel_C,21.21,23.01,30.1,1.8000000000000007,92.17731421121252,2024-02,19,Good
2024-02-24,Panel_B,27.75,29.21,30.4,1.4600000000000009,95.00171174255392,2024-02,24,Good
2024-01-31,Panel_B,22.54,29.06,29.9,6.52,77.56366139022711,2024-01,31,Average
2024-02-16,Panel_D,21.65,24.81,29.5,3.16,87.26320032245061,2024-02,16,Average
2024-01-03,Panel_A,20.58,26.08,21.3,5.5,78.91104294478527,2024-01,3,Average
2024-01-15,Panel_B,20.32,22.24,24.7,1.9199999999999982,91.36690647482015,2024-01,15,Good
2024-02-20,Panel_C,22.86,26.2,37.9,3.34,87.25190839694656,2024-02,20,Average
2024-01-19,Panel_C,25.17,27.98,34.0,2.8099999999999987,89.95711222301644,2024-01,19,Average
